                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.44411,                0.34826,                0.94984,                0.94894,                0.94209,                0.97049,                0.92344,                0.32068,                0.29194,                0.91683,                0.00604,                0.00604,                0.00604
                     43,                 0.4433,                0.34152,                0.94856,                0.94887,                0.94195,                0.97088,                0.92384,                0.32029,                0.29079,                0.91686,               0.005941,               0.005941,               0.005941
                     44,                 0.4397,                0.34181,                0.94784,                0.95022,                0.94111,                0.97125,                0.92448,                0.32028,                0.29045,                0.91691,               0.005842,               0.005842,               0.005842
                     45,                0.43702,                0.33865,                0.94723,                0.94991,                0.94111,                0.97068,                0.92421,                0.32029,                 0.2917,                0.91688,               0.005743,               0.005743,               0.005743
                     46,                0.43742,                0.33686,                 0.9456,                0.94805,                0.94194,                0.97077,                0.92421,                0.32001,                0.29205,                0.91663,               0.005644,               0.005644,               0.005644
                     47,                0.43763,                0.33417,                0.94577,                0.94808,                0.94249,                0.97073,                0.92467,                0.31981,                0.29127,                0.91664,               0.005545,               0.005545,               0.005545
                     48,                0.43464,                0.33189,                0.94398,                0.94557,                0.94444,                0.97129,                 0.9248,                0.32038,                0.29058,                0.91691,               0.005446,               0.005446,               0.005446
                     49,                0.43329,                0.33008,                0.94294,                0.94631,                 0.9435,                0.97135,                0.92519,                0.32024,                0.29048,                0.91678,               0.005347,               0.005347,               0.005347
                     50,                 0.4323,                0.33084,                0.94381,                 0.9463,                0.94408,                0.97144,                0.92526,                0.31925,                0.29083,                0.91654,               0.005248,               0.005248,               0.005248
                     51,                0.43015,                0.32648,                0.94197,                0.94665,                0.94432,                0.97092,                0.92517,                0.31874,                0.29091,                0.91644,               0.005149,               0.005149,               0.005149
                     52,                0.42762,                 0.3256,                0.94061,                0.94878,                0.94425,                0.97083,                0.92543,                0.31906,                0.29164,                0.91683,                0.00505,                0.00505,                0.00505
                     53,                0.42535,                0.32193,                0.94157,                0.94935,                0.94358,                 0.9706,                0.92506,                0.31914,                0.29152,                 0.9172,               0.004951,               0.004951,               0.004951
                     54,                0.42476,                0.32396,                0.94096,                 0.9501,                0.94271,                0.97119,                  0.926,                0.31885,                0.28972,                0.91721,               0.004852,               0.004852,               0.004852
                     55,                0.42078,                0.31912,                0.93649,                0.94946,                0.94323,                0.97117,                0.92566,                  0.319,                0.29098,                0.91752,               0.004753,               0.004753,               0.004753
                     56,                0.41853,                0.31731,                0.93738,                0.94716,                0.94414,                0.97127,                0.92589,                0.31926,                0.29139,                0.91778,               0.004654,               0.004654,               0.004654
                     57,                0.41748,                0.31429,                0.93611,                0.94876,                0.94288,                0.97079,                 0.9255,                0.31902,                0.29133,                0.91753,               0.004555,               0.004555,               0.004555
                     58,                0.41603,                0.31392,                0.93718,                0.94522,                0.94598,                 0.9713,                0.92655,                0.31874,                0.29076,                0.91764,               0.004456,               0.004456,               0.004456
                     59,                0.41425,                0.30947,                0.93415,                0.94446,                0.94643,                0.97155,                0.92634,                0.31899,                0.29223,                0.91787,               0.004357,               0.004357,               0.004357
                     60,                0.41231,                0.31076,                 0.9348,                0.94542,                0.94516,                0.97157,                0.92617,                0.31889,                0.29269,                0.91803,               0.004258,               0.004258,               0.004258
                     61,                0.40954,                0.30847,                0.93324,                0.94427,                0.94584,                0.97181,                0.92688,                0.31897,                 0.2937,                0.91848,               0.004159,               0.004159,               0.004159
                     62,                 0.4087,                0.30517,                0.93089,                0.94921,                0.93974,                0.97181,                  0.927,                  0.319,                0.29414,                0.91828,                0.00406,                0.00406,                0.00406
                     63,                0.40743,                0.30287,                0.93367,                0.94595,                0.94541,                0.97143,                0.92704,                0.31925,                0.29374,                0.91821,               0.003961,               0.003961,               0.003961
                     64,                0.40445,                0.29977,                0.93113,                0.94732,                0.94435,                0.97107,                 0.9267,                0.31929,                0.29542,                0.91832,               0.003862,               0.003862,               0.003862
                     65,                 0.4017,                0.29613,                0.93076,                0.94735,                0.94452,                0.97129,                0.92711,                0.31942,                0.29414,                0.91818,               0.003763,               0.003763,               0.003763
                     66,                0.39938,                 0.2949,                0.92988,                 0.9462,                0.94558,                0.97133,                0.92703,                0.31972,                0.29472,                0.91834,               0.003664,               0.003664,               0.003664
                     67,                0.39736,                0.29267,                0.93041,                0.94628,                0.94547,                0.97148,                 0.9269,                0.32008,                0.29459,                0.91887,               0.003565,               0.003565,               0.003565
                     68,                 0.3948,                0.28782,                0.92826,                0.94717,                0.94546,                0.97167,                0.92686,                0.32062,                0.29507,                 0.9192,               0.003466,               0.003466,               0.003466
                     69,                0.39434,                0.28674,                0.92756,                0.94728,                0.94475,                0.97134,                0.92626,                0.32064,                0.29481,                0.91926,               0.003367,               0.003367,               0.003367
                     70,                0.39126,                0.28705,                0.92305,                0.94662,                 0.9451,                 0.9715,                0.92607,                0.32102,                0.29498,                0.91957,               0.003268,               0.003268,               0.003268
                     71,                0.38618,                0.28354,                0.92055,                0.94566,                0.94525,                0.97138,                0.92626,                0.32071,                0.29585,                0.91967,               0.003169,               0.003169,               0.003169
                     72,                0.38582,                0.28121,                0.91982,                 0.9453,                0.94422,                0.97116,                 0.9259,                0.32055,                0.29642,                0.91919,                0.00307,                0.00307,                0.00307
                     73,                0.38172,                0.27776,                0.92048,                0.94453,                0.94357,                0.97091,                0.92555,                0.32042,                0.29622,                0.91896,               0.002971,               0.002971,               0.002971
                     74,                0.37973,                0.27488,                0.92008,                0.94605,                0.94066,                0.97072,                0.92562,                0.32026,                0.29614,                0.91884,               0.002872,               0.002872,               0.002872
                     75,                0.37734,                0.27102,                0.92192,                0.94621,                0.94118,                 0.9704,                0.92547,                0.32022,                0.29622,                0.91889,               0.002773,               0.002773,               0.002773
                     76,                0.37415,                0.26759,                0.91948,                 0.9465,                0.94143,                0.97016,                  0.925,                0.32018,                0.29687,                0.91909,               0.002674,               0.002674,               0.002674
                     77,                0.37192,                0.26674,                0.91822,                0.94176,                0.94653,                0.97005,                0.92499,                0.32023,                0.29833,                0.91949,               0.002575,               0.002575,               0.002575
                     78,                0.37104,                0.26548,                0.91792,                0.94564,                0.94175,                0.97007,                0.92496,                0.32022,                0.29798,                0.91974,               0.002476,               0.002476,               0.002476
                     79,                0.36729,                0.26214,                0.91609,                0.94584,                0.94126,                0.96975,                0.92465,                0.32003,                0.29941,                0.91952,               0.002377,               0.002377,               0.002377
                     80,                0.36341,                0.25912,                0.91651,                0.94536,                0.94143,                0.96984,                0.92481,                0.31995,                0.29989,                0.91979,               0.002278,               0.002278,               0.002278
                     81,                0.36291,                0.25594,                0.91703,                0.94377,                0.94213,                0.96969,                0.92472,                0.32026,                0.30075,                0.92042,               0.002179,               0.002179,               0.002179
                     82,                0.35971,                0.25368,                0.91598,                0.94255,                0.94218,                0.96944,                0.92484,                0.32066,                0.30045,                0.92088,                0.00208,                0.00208,                0.00208
                     83,                0.35716,                0.24895,                 0.9137,                0.94171,                0.94317,                0.96934,                0.92488,                 0.3207,                 0.2996,                0.92124,               0.001981,               0.001981,               0.001981
                     84,                0.35394,                0.24765,                0.91092,                0.94221,                0.94291,                0.96922,                0.92494,                0.32121,                0.29929,                0.92148,               0.001882,               0.001882,               0.001882
                     85,                0.34929,                0.24347,                0.91011,                0.94069,                0.94399,                0.96907,                0.92461,                0.32163,                0.30004,                0.92171,               0.001783,               0.001783,               0.001783
                     86,                0.34757,                 0.2406,                0.90775,                0.93779,                0.94652,                0.96894,                0.92434,                0.32176,                0.30186,                0.92143,               0.001684,               0.001684,               0.001684
                     87,                0.34356,                0.23808,                 0.9066,                0.93872,                0.94559,                 0.9688,                0.92449,                0.32171,                0.30514,                0.92134,               0.001585,               0.001585,               0.001585
                     88,                 0.3419,                0.23649,                0.90667,                0.94043,                0.94353,                0.96852,                0.92444,                0.32212,                0.30605,                0.92133,               0.001486,               0.001486,               0.001486
                     89,                  0.337,                0.23245,                0.90492,                0.93962,                0.94393,                0.96862,                0.92472,                0.32268,                0.30776,                0.92146,               0.001387,               0.001387,               0.001387
                     90,                0.33256,                0.22642,                 0.9022,                0.93901,                0.94432,                 0.9684,                0.92457,                0.32342,                 0.3085,                0.92191,               0.001288,               0.001288,               0.001288
                     91,                0.23727,                0.14973,                0.83596,                0.93895,                0.94258,                0.96807,                0.92504,                0.31804,                0.30849,                0.92082,               0.001189,               0.001189,               0.001189
                     92,                0.23271,                0.14667,                0.83323,                0.93641,                0.94439,                0.96766,                0.92542,                0.31329,                0.30911,                0.92021,                0.00109,                0.00109,                0.00109
                     93,                0.22747,                0.14361,                0.83289,                 0.9368,                0.94145,                0.96698,                0.92497,                0.30953,                0.30995,                0.92015,               0.000991,               0.000991,               0.000991
                     94,                0.22268,                0.13862,                0.82898,                0.93302,                0.94493,                0.96644,                0.92509,                0.30593,                0.31039,                0.91981,               0.000892,               0.000892,               0.000892
                     95,                0.21717,                 0.1337,                0.82777,                0.93234,                0.94605,                0.96589,                0.92482,                0.30321,                0.30988,                0.91982,               0.000793,               0.000793,               0.000793
                     96,                0.21273,                0.12885,                0.82466,                0.93317,                0.94478,                0.96572,                 0.9249,                0.30075,                0.31128,                0.91958,               0.000694,               0.000694,               0.000694
                     97,                0.20802,                0.12548,                0.82388,                0.93361,                0.94428,                0.96547,                0.92515,                0.29934,                0.31227,                0.92006,               0.000595,               0.000595,               0.000595
                     98,                 0.2029,                0.12139,                0.82154,                0.93367,                0.94298,                0.96498,                0.92512,                0.29794,                 0.3142,                0.92048,               0.000496,               0.000496,               0.000496
                     99,                0.19893,                0.11798,                0.82216,                0.93415,                0.94274,                0.96469,                0.92479,                0.29677,                0.31517,                0.92086,               0.000397,               0.000397,               0.000397
                    100,                0.19525,                0.11509,                0.81949,                0.93674,                0.93947,                0.96423,                0.92446,                 0.2957,                0.31659,                0.92107,               0.000298,               0.000298,               0.000298
