                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60588,                 1.2277,                 1.0279,                0.87384,                0.88276,                0.92426,                0.84609,                0.39892,                 0.4793,                0.95286,              0.0033302,              0.0033302,              0.0033302
                      2,                0.61398,                0.68269,                 1.0272,                0.81869,                0.80868,                0.87049,                 0.7741,                0.46531,                0.70037,                0.97596,              0.0065976,              0.0065976,              0.0065976
                      3,                0.71089,                 0.7696,                 1.0791,                0.83191,                0.82693,                0.87553,                0.74522,                 0.5592,                0.70892,                 1.0354,              0.0097989,              0.0097989,              0.0097989
                      4,                0.70801,                0.73722,                 1.0739,                0.89523,                0.90757,                0.94412,                0.84161,                0.46546,                0.43444,                0.98439,               0.009703,               0.009703,               0.009703
                      5,                0.64224,                0.62954,                   1.04,                0.91686,                0.91647,                0.95176,                0.86702,                0.41355,                0.37932,                0.95693,               0.009703,               0.009703,               0.009703
                      6,                0.60705,                0.57281,                 1.0196,                0.91011,                0.93116,                0.95629,                0.88254,                0.38316,                0.36245,                0.94433,               0.009604,               0.009604,               0.009604
                      7,                0.58167,                0.53652,                 1.0091,                0.92422,                0.92428,                 0.9609,                0.89038,                0.37611,                 0.3437,                0.93341,               0.009505,               0.009505,               0.009505
                      8,                0.56502,                0.51001,                0.99997,                 0.9359,                0.93167,                0.96529,                0.89925,                0.37048,                0.32495,                0.93183,               0.009406,               0.009406,               0.009406
                      9,                0.55205,                0.49347,                0.99257,                0.94095,                0.93659,                0.96895,                0.90792,                0.34855,                0.30215,                0.92628,               0.009307,               0.009307,               0.009307
                     10,                0.53989,                0.48011,                 0.9968,                0.93241,                0.93917,                0.96773,                0.90948,                0.34038,                0.30564,                0.92257,               0.009208,               0.009208,               0.009208
                     11,                0.53369,                0.46714,                0.98905,                0.93947,                0.93914,                0.96949,                0.91077,                0.35259,                0.30225,                 0.9274,               0.009109,               0.009109,               0.009109
                     12,                 0.5259,                0.45595,                0.98536,                0.93802,                0.94018,                0.96871,                 0.9121,                0.33898,                0.30209,                0.92268,                0.00901,                0.00901,                0.00901
                     13,                0.52053,                0.44538,                0.98384,                0.94111,                 0.9408,                0.96934,                0.91362,                0.33541,                0.29814,                0.92039,               0.008911,               0.008911,               0.008911
                     14,                0.51401,                0.43837,                0.98359,                0.93807,                0.94704,                0.96937,                0.91531,                0.33371,                0.29455,                0.92093,               0.008812,               0.008812,               0.008812
                     15,                0.51031,                0.42887,                0.97931,                0.94145,                 0.9463,                0.97015,                0.91586,                0.33435,                0.29478,                0.92148,               0.008713,               0.008713,               0.008713
                     16,                0.50389,                0.42512,                0.97354,                0.94101,                0.94366,                0.97017,                0.91609,                0.33446,                0.29261,                0.92101,               0.008614,               0.008614,               0.008614
                     17,                0.50313,                0.41995,                0.97379,                0.93878,                0.94539,                0.97019,                0.91735,                 0.3326,                0.29179,                0.92047,               0.008515,               0.008515,               0.008515
                     18,                0.49638,                0.41243,                0.97099,                 0.9393,                0.94419,                0.97045,                0.91727,                0.33092,                0.29247,                0.91976,               0.008416,               0.008416,               0.008416
                     19,                 0.4927,                0.40798,                0.97241,                0.93993,                 0.9427,                0.97082,                0.91833,                0.32919,                0.29262,                0.91944,               0.008317,               0.008317,               0.008317
                     20,                0.49066,                0.40489,                 0.9699,                 0.9421,                0.94074,                0.97083,                0.91854,                0.32774,                0.29292,                0.91909,               0.008218,               0.008218,               0.008218
                     21,                0.48725,                0.39795,                0.96584,                0.94054,                0.94147,                0.97069,                0.91902,                0.32672,                0.29391,                0.91904,               0.008119,               0.008119,               0.008119
                     22,                0.48344,                 0.3991,                0.97168,                0.94133,                0.94216,                0.97066,                 0.9193,                0.32534,                0.29292,                0.91893,                0.00802,                0.00802,                0.00802
                     23,                0.48217,                0.39255,                0.96528,                0.94066,                0.94351,                0.97079,                0.91981,                0.32461,                0.29376,                0.91879,               0.007921,               0.007921,               0.007921
                     24,                0.48109,                 0.3893,                0.96362,                0.94057,                0.94396,                0.97064,                0.91962,                0.32429,                 0.2941,                0.91858,               0.007822,               0.007822,               0.007822
                     25,                0.47776,                0.38513,                0.96439,                0.94093,                 0.9434,                0.97054,                0.91997,                0.32445,                 0.2939,                0.91877,               0.007723,               0.007723,               0.007723
                     26,                 0.4749,                 0.3832,                0.96328,                0.94202,                 0.9424,                0.97093,                0.92069,                0.32469,                0.29402,                0.91888,               0.007624,               0.007624,               0.007624
                     27,                0.47448,                0.37993,                0.96181,                0.94054,                0.94417,                0.97096,                0.92057,                0.32398,                0.29318,                 0.9188,               0.007525,               0.007525,               0.007525
                     28,                0.47027,                 0.3761,                0.95948,                0.94402,                0.94318,                0.97144,                0.92094,                0.32357,                0.29266,                0.91891,               0.007426,               0.007426,               0.007426
                     29,                0.46895,                0.37585,                0.95906,                0.94574,                0.94318,                0.97114,                0.92133,                0.32372,                0.29076,                0.91928,               0.007327,               0.007327,               0.007327
                     30,                0.46585,                0.37398,                0.95757,                0.94665,                 0.9435,                0.97129,                0.92151,                0.32302,                0.29015,                0.91873,               0.007228,               0.007228,               0.007228
                     31,                0.46502,                0.37115,                0.95707,                0.94686,                0.94337,                0.97137,                0.92167,                0.32238,                0.28902,                0.91863,               0.007129,               0.007129,               0.007129
                     32,                0.46562,                0.37187,                0.95872,                0.94818,                 0.9423,                0.97119,                0.92188,                0.32254,                0.28906,                0.91905,                0.00703,                0.00703,                0.00703
                     33,                0.46026,                0.36436,                0.95545,                 0.9484,                0.94198,                0.97121,                0.92196,                0.32192,                0.28839,                0.91836,               0.006931,               0.006931,               0.006931
                     34,                0.45911,                0.36228,                0.95408,                0.94808,                0.94248,                0.97116,                0.92252,                0.32198,                0.28767,                0.91827,               0.006832,               0.006832,               0.006832
                     35,                0.45607,                0.36048,                0.95287,                0.95045,                0.94216,                0.97139,                0.92268,                0.32204,                0.28741,                0.91789,               0.006733,               0.006733,               0.006733
                     36,                0.45475,                0.35526,                0.95098,                0.95057,                0.94096,                0.97157,                0.92317,                0.32144,                0.28656,                0.91768,               0.006634,               0.006634,               0.006634
                     37,                0.45508,                0.35698,                0.95379,                0.94816,                0.94283,                0.97146,                0.92321,                0.32138,                0.28692,                0.91777,               0.006535,               0.006535,               0.006535
                     38,                0.45192,                0.35294,                0.95131,                0.95109,                0.94235,                0.97148,                0.92384,                 0.3208,                0.28714,                0.91747,               0.006436,               0.006436,               0.006436
                     39,                0.45056,                0.35297,                0.95075,                0.95079,                 0.9426,                0.97123,                0.92384,                 0.3209,                0.28889,                0.91728,               0.006337,               0.006337,               0.006337
                     40,                0.44956,                0.35203,                0.95279,                 0.9498,                0.94258,                0.97101,                0.92352,                0.32082,                0.28987,                0.91711,               0.006238,               0.006238,               0.006238
                     41,                0.44737,                0.34812,                0.94854,                0.94908,                0.94217,                  0.971,                0.92377,                0.32057,                0.29071,                0.91682,               0.006139,               0.006139,               0.006139
