                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78762,                 3.4622,                 1.2208,                0.32582,                0.57505,                0.37642,                0.29846,                0.65689,                 2.8279,                 1.1447,             0.00020655,             0.00020655,             0.00020655
                      2,                0.81178,                 1.9091,                  1.189,                0.52157,                 0.5992,                0.57084,                0.45536,                0.71244,                 1.7238,                 1.1273,              0.0003875,              0.0003875,              0.0003875
                      3,                 0.8657,                 1.6529,                 1.2062,                0.67029,                0.51818,                 0.6184,                0.44718,                0.87509,                 1.5945,                 1.2565,             0.00054095,             0.00054095,             0.00054095
                      4,                0.90851,                 1.5503,                 1.2201,                0.64034,                0.68261,                0.71571,                0.52403,                0.86744,                 1.3294,                 1.2789,             0.00050125,             0.00050125,             0.00050125
                      5,                0.83008,                 1.3413,                 1.1698,                0.65092,                0.75403,                0.76596,                0.58339,                0.79246,                 1.0989,                 1.1954,             0.00050125,             0.00050125,             0.00050125
                      6,                0.79277,                 1.2774,                 1.2123,                0.62585,                0.63368,                0.69263,                0.52369,                 0.7904,                 1.3489,                  1.171,                0.00046,                0.00046,                0.00046
                      7,                  0.743,                 1.2266,                 1.1599,                0.70071,                 0.6267,                0.73586,                0.57444,                0.72253,                  1.151,                 1.1302,             0.00041875,             0.00041875,             0.00041875
                      8,                0.69988,                 1.0406,                 1.1513,                 0.7235,                0.72581,                0.77639,                0.62433,                0.69925,                 1.0497,                 1.1197,              0.0003775,              0.0003775,              0.0003775
                      9,                0.63581,                0.89982,                 1.0933,                0.79145,                0.71536,                0.81297,                0.64646,                0.69691,                0.94157,                 1.1338,             0.00033625,             0.00033625,             0.00033625
                     10,                0.62162,                0.83749,                 1.0833,                0.74911,                0.80921,                0.84127,                0.67361,                0.69573,                0.85356,                 1.1099,               0.000295,               0.000295,               0.000295
                     11,                0.58976,                0.77714,                 1.0662,                0.81251,                0.77382,                0.86106,                0.71666,                0.60541,                0.79582,                  1.055,             0.00025375,             0.00025375,             0.00025375
                     12,                0.56634,                0.71013,                 1.0463,                 0.8215,                0.82395,                0.88216,                0.72335,                  0.611,                0.75035,                 1.0659,              0.0002125,              0.0002125,              0.0002125
                     13,                0.53374,                0.63784,                 1.0393,                0.77634,                0.86475,                0.89463,                0.76092,                 0.5623,                0.64119,                 1.0467,             0.00017125,             0.00017125,             0.00017125
                     14,                0.49328,                0.57914,                 1.0017,                0.87794,                0.83251,                0.91448,                0.77301,                0.57811,                0.58995,                 1.0525,                0.00013,                0.00013,                0.00013
                     15,                0.47511,                0.50369,                0.98941,                0.86903,                0.85041,                0.91119,                0.78418,                0.54082,                0.55351,                 1.0267,              8.875e-05,              8.875e-05,              8.875e-05
