                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49113,                 1.0924,                 1.0377,                0.89997,                0.88813,                0.93615,                0.87675,                0.32701,                0.43019,                0.86224,              0.0033324,              0.0033324,              0.0033324
                      2,                0.52881,                0.65885,                 1.0463,                0.91296,                0.89827,                0.94365,                0.87682,                0.34815,                0.41455,                0.88018,              0.0062258,              0.0062258,              0.0062258
                      3,                0.59438,                0.71115,                 1.0753,                0.90783,                0.90562,                0.94216,                0.86663,                 0.3817,                 0.4192,                0.90376,              0.0086792,              0.0086792,              0.0086792
                      4,                0.57984,                0.65332,                 1.0568,                0.91739,                0.91928,                0.95295,                0.88754,                 0.3436,                0.35895,                0.88415,                0.00802,                0.00802,                0.00802
                      5,                0.53713,                0.57528,                  1.035,                0.92531,                0.91835,                0.95616,                0.89732,                0.32911,                0.34339,                0.87066,                0.00802,                0.00802,                0.00802
                      6,                0.40442,                0.40977,                0.96647,                0.92211,                 0.9241,                0.95348,                0.89479,                0.32341,                0.33314,                0.86547,                0.00736,                0.00736,                0.00736
                      7,                0.37931,                  0.366,                0.94821,                 0.9162,                 0.9223,                0.95535,                0.90112,                0.30172,                0.33195,                0.85109,                 0.0067,                 0.0067,                 0.0067
                      8,                0.35608,                0.33172,                0.93613,                0.92661,                0.92886,                0.95941,                0.91079,                0.29009,                0.31157,                 0.8395,                0.00604,                0.00604,                0.00604
                      9,                0.33851,                0.30438,                0.92603,                0.92087,                0.91958,                0.95802,                0.91022,                0.28431,                0.31344,                0.83847,                0.00538,                0.00538,                0.00538
                     10,                0.32086,                0.28156,                0.91576,                0.92642,                0.91224,                0.95618,                0.91101,                0.28447,                0.32098,                  0.838,                0.00472,                0.00472,                0.00472
                     11,                0.30602,                0.25857,                0.90783,                0.92267,                0.92369,                0.95881,                0.91593,                0.27235,                0.30118,                0.83091,                0.00406,                0.00406,                0.00406
                     12,                0.29017,                0.24031,                0.89876,                0.92656,                0.92218,                0.95784,                0.91604,                0.26813,                0.29764,                0.82816,                 0.0034,                 0.0034,                 0.0034
                     13,                0.27624,                0.22216,                0.88984,                0.93256,                0.91848,                0.95884,                0.91885,                0.26534,                0.29514,                0.82617,                0.00274,                0.00274,                0.00274
                     14,                0.25948,                 0.2036,                0.88244,                0.92292,                0.92645,                0.95664,                0.91701,                 0.2632,                0.30064,                0.82425,                0.00208,                0.00208,                0.00208
                     15,                0.24344,                0.18646,                0.87375,                0.92717,                0.92159,                0.95542,                0.91665,                0.26151,                0.30458,                0.82329,                0.00142,                0.00142,                0.00142
