Species	Occurrences
Mésange bleue, mésange charbonnière, verdier d'Europe	2
Tarin des aulnes, Verdier d'Europe	1
Mésange charbonnière, pinson des arbres	3
Verdier d'Europe, pinson des arbres	3
Pinson des arbres, verdier d'Europe	5
Mésange charbonnière, bouvreuil pivoine	1
Mésange bleue, mésange huppée	1
Mésange Noire, mésange charbonnière	16
Mésange Noire, mésange bleue	9
Mésange nonnette, mésange noire	3
Mésange huppé, mésange noire	1
Mésange Noire, mésange nonnette	3
Mésange charbonnière, mésange nonnette	3
Mésange bleue, mésange noire	4
Mésange noire mésange charbonnière	1
Mésange nonnette, mésange noire, mésange charbonnière	1
Mésange Noire, mésange huppée	2
Mésange huppée, mésange noire	2
Mésange charbonnière, geai des chênes	1
Mésange bleue, mésange charbonnière, mésange nonnette	1
Mésange Nonnette, mésange bleue	4
Mésange nonnette, mésange huppée	1
Pinson des arbres, verdier d'Europe, sitelle torchepot	1
Mésange charbonnière, mésange huppée	2
Mésange charbonnière, sitelle torchepot	1
Pic épeiche, mésange charbonnière	1
Chat à chasser ! Comment ?	1
Bouvreuil pivoine, Bouvreuil pivoine	1
mésange iroquois	7
siskin	12
verdier	2
Linotte mélodieuse	50
lnotte	1
linptte	1
Mesange bleue et charbonnière	1
Sitelle torchepot	4
gypaète barbu	1
train des anules	1
